"filename", "language", "Dart", "YAML", "Markdown", "JSON", "C++", "HTML", "Swift", "XML", "Properties", "Groovy", "comment", "blank", "total"
"e:\Projects\P_Android_save\flutter project\chat_app\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"e:\Projects\P_Android_save\flutter project\chat_app\analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"e:\Projects\P_Android_save\flutter project\chat_app\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 5, 12, 69
"e:\Projects\P_Android_save\flutter project\chat_app\android\app\google-services.json", "JSON", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 29
"e:\Projects\P_Android_save\flutter project\chat_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"e:\Projects\P_Android_save\flutter project\chat_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 6, 1, 34
"e:\Projects\P_Android_save\flutter project\chat_app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"e:\Projects\P_Android_save\flutter project\chat_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"e:\Projects\P_Android_save\flutter project\chat_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"e:\Projects\P_Android_save\flutter project\chat_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"e:\Projects\P_Android_save\flutter project\chat_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"e:\Projects\P_Android_save\flutter project\chat_app\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"e:\Projects\P_Android_save\flutter project\chat_app\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"e:\Projects\P_Android_save\flutter project\chat_app\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"e:\Projects\P_Android_save\flutter project\chat_app\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 5, 21
"e:\Projects\P_Android_save\flutter project\chat_app\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"e:\Projects\P_Android_save\flutter project\chat_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"e:\Projects\P_Android_save\flutter project\chat_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"e:\Projects\P_Android_save\flutter project\chat_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"e:\Projects\P_Android_save\flutter project\chat_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"e:\Projects\P_Android_save\flutter project\chat_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"e:\Projects\P_Android_save\flutter project\chat_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"e:\Projects\P_Android_save\flutter project\chat_app\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Projects\P_Android_save\flutter project\chat_app\ios\firebase_app_id_file.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"e:\Projects\P_Android_save\flutter project\chat_app\lib\constants\color.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"e:\Projects\P_Android_save\flutter project\chat_app\lib\constants\strings.dart", "Dart", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"e:\Projects\P_Android_save\flutter project\chat_app\lib\firebase_options.dart", "Dart", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 82
"e:\Projects\P_Android_save\flutter project\chat_app\lib\helper\login_user.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 10
"e:\Projects\P_Android_save\flutter project\chat_app\lib\helper\register_user.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"e:\Projects\P_Android_save\flutter project\chat_app\lib\helper\show_snack_bar.dart", "Dart", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"e:\Projects\P_Android_save\flutter project\chat_app\lib\main.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 26
"e:\Projects\P_Android_save\flutter project\chat_app\lib\models\message.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"e:\Projects\P_Android_save\flutter project\chat_app\lib\screens\chat_screen.dart", "Dart", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 115
"e:\Projects\P_Android_save\flutter project\chat_app\lib\screens\home_screen.dart", "Dart", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"e:\Projects\P_Android_save\flutter project\chat_app\lib\screens\login_screen.dart", "Dart", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 142
"e:\Projects\P_Android_save\flutter project\chat_app\lib\screens\register_screen.dart", "Dart", 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 150
"e:\Projects\P_Android_save\flutter project\chat_app\lib\widgets\custom_button.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 32
"e:\Projects\P_Android_save\flutter project\chat_app\lib\widgets\custom_chat_buble.dart", "Dart", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 69
"e:\Projects\P_Android_save\flutter project\chat_app\lib\widgets\custom_form_text_filed.dart", "Dart", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 41
"e:\Projects\P_Android_save\flutter project\chat_app\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 4, 5, 16
"e:\Projects\P_Android_save\flutter project\chat_app\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"e:\Projects\P_Android_save\flutter project\chat_app\linux\main.cc", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Projects\P_Android_save\flutter project\chat_app\linux\my_application.cc", "C++", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 11, 20, 105
"e:\Projects\P_Android_save\flutter project\chat_app\linux\my_application.h", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7, 5, 19
"e:\Projects\P_Android_save\flutter project\chat_app\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 4, 19
"e:\Projects\P_Android_save\flutter project\chat_app\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
